method,width,mlp_depth,target_scalar_ratio,stored_scalars,formula_scalars,scalar_ratio_to_formula,test_mse_mean,test_mse_std,test_mse_mean_pm_std,empirical_lipschitz_mean,empirical_lipschitz_std,empirical_lipschitz_mean_pm_std
Closed form,,,1.0,101001,101001,1.0,0.20114701226299733,0.013009953007370286,2.011470e-01 ± 1.300995e-02,0.04440612680493637,0.0036142694553837926,0.044406 ± 0.003614
MLP target=0.5x,135.0,3.0,0.5,50491,101001,0.4999059415253314,0.010313962953853218,0.002008965555733565,1.031396e-02 ± 2.008966e-03,0.2691677932511236,0.01632653887005241,0.269168 ± 0.016327
MLP target=1.0x,200.0,3.0,1.0,100801,101001,0.9980198215859248,0.01066267604156593,0.0018090150091336313,1.066268e-02 ± 1.809015e-03,0.27000374883673056,0.015445460297473618,0.270004 ± 0.015445
MLP target=1.5x,250.0,3.0,1.5,151001,101001,1.495044603518777,0.009926545791753507,0.0016213059138657899,9.926546e-03 ± 1.621306e-03,0.27042116153479495,0.013926144729668017,0.270421 ± 0.013926
MLP target=2.0x,293.0,3.0,2.0,202171,101001,2.0016732507598936,0.010247417258485615,0.0020547203232915033,1.024742e-02 ± 2.054720e-03,0.27227188906362465,0.016675308210058703,0.272272 ± 0.016675
