sigma,omega,run,beta,val_mse,L_used
0.1,1,4,0.0004962372463892837,0.01650671660297862,1557.2966222954774
0.1,1,4,0.000833725621420223,0.0153541783801791,683.5914945579293
0.1,1,4,0.0014007380882233346,0.014522626331158067,1926.4497385185807
0.1,1,4,0.002353372790028029,0.013078404678447014,2987.3546778822715
0.1,1,4,0.003953889406883368,0.011867909031446664,745.9117927174437
0.1,1,4,0.006642909065706648,0.011238164915816605,481.7460396244731
0.1,1,4,0.011160717034326799,0.010718940930268664,1484.5105825105447
0.1,1,4,0.018751062747998374,0.01044439083455464,90.10311448974808
0.1,1,4,0.03150356317591022,0.010351795325733857,159.6971010908987
0.1,1,4,0.05292897293965444,0.010226989672535311,33.15624535124893
0.1,1,4,0.08892569265272403,0.010167759044521546,43.56102519251068
0.1,1,4,0.14940359456403168,0.010163908830886923,1147.8732979374952
0.1,1,4,0.25101220359141996,0.0107241540458316,28.209434971164274
0.1,1,4,0.4217243001125828,0.014213675617717636,32.57675303556548
0.1,1,4,0.7085368072181147,0.0344138492050152,10.057490015524422
0.1,1,4,1.190409011405839,0.13361720313917616,45.09072399586741
0.1,1,4,2.0,0.30063806224577583,0.0
0.1,1,5,1.7377722860700815e-07,0.019480598981100973,701792.8219994723
0.1,1,5,3.0442261045352326e-07,0.01950191795056764,108487.75801047163
0.1,1,5,5.332869357982157e-07,0.01950191795056764,108487.75801047163
0.1,1,5,9.342110149747559e-07,0.01950191795056764,108487.75801047163
0.1,1,5,1.6365490356403436e-06,0.01950191795056764,108487.75801047163
0.1,1,5,2.866903411674835e-06,0.01950191795056764,108487.75801047163
0.1,1,5,5.022235810158205e-06,0.01943139971717166,73050.31706088627
0.1,1,5,8.797942905966368e-06,0.019465023362468997,19281.682090881874
0.1,1,5,1.5412219239105343e-05,0.019451697176027766,19281.682090881874
0.1,1,5,2.699909563099827e-05,0.019410313786453363,8071.372991459693
0.1,1,5,4.729696311626718e-05,0.01921429050045065,6008.202744931586
0.1,1,5,8.2854727824779e-05,0.018892769396974093,3704.6148261181047
0.1,1,5,0.0001451447507537141,0.018609120169629047,4732.063360955781
0.1,1,5,0.0002542642915430273,0.017146063170235974,2805.534804876096
0.1,1,5,0.0004454196904687111,0.01604765999442457,921.5528832126192
0.1,1,5,0.0007802853458235946,0.01496244333567639,2289.426180872478
0.1,1,5,0.001366902348359061,0.013468483585733415,721.2427460330564
0.1,1,5,0.0023945368703258006,0.01187064788930257,538.9699138122342
0.1,1,5,0.004194745023470771,0.011000249713514716,257.6943481465039
0.1,1,5,0.007348346158285996,0.00994416698693658,2823.6536136106224
0.1,1,5,0.012872818481185785,0.009609120028554958,1606.6133610497259
0.1,1,5,0.022550578331520806,0.009758422641454788,95.38678822381728
0.1,1,5,0.039504059179370284,0.009724066978706883,54.3110029309769
0.1,1,5,0.06920313389328263,0.009651474929842564,33.22714821022459
0.1,1,5,0.12122991510585174,0.00961503508770307,29.22713388851123
0.1,1,5,0.21237032905526537,0.009900716227944962,19.400287035870363
0.1,1,5,0.37202992861672535,0.012001749234324177,24.364294279121324
0.1,1,5,0.6517213040176996,0.026382805937346657,18.94956362226036
0.1,1,5,1.1416841104418514,0.11050946673697641,5.726769304870193
0.1,1,5,2.0,0.2613032031976475,0.0
0.1,1,6,6.029242540783745e-07,0.01975208932605837,89643.6168445212
0.1,1,6,1.0118515412709939e-06,0.01975208932605837,89643.6168445212
0.1,1,6,1.698129631785216e-06,0.01975208932605837,89643.6168445212
0.1,1,6,2.849868907374329e-06,0.01975208932605837,89643.6168445212
0.1,1,6,4.782763716737379e-06,0.01975208932605836,41727.90953200733
0.1,1,6,8.02662491279812e-06,0.01955474945711857,23974.081249856856
0.1,1,6,1.3470602209615511e-05,0.019555474892160342,17834.67836256371
0.1,1,6,2.260690213645993e-05,0.019563510965757692,13134.058824494217
0.1,1,6,3.79398052332557e-05,0.019448909258533906,9585.910270365774
0.1,1,6,6.367209502870793e-05,0.019385088681135164,5153.30664074799
0.1,1,6,0.00010685705054150395,0.019015033448101445,3051.518924688765
0.1,1,6,0.0001793317660630024,0.01909277889872279,4199.880328397908
0.1,1,6,0.00030096172556048906,0.01867570317146672,1439.003589592778
0.1,1,6,0.000505085976906766,0.01749058373440634,2296.651266979818
0.1,1,6,0.0008476554405473334,0.017377107332098084,767.8695398580722
0.1,1,6,0.001422569183745377,0.015896131156779653,2826.0618374734104
0.1,1,6,0.002387412367972623,0.014822968050365377,739.136470274086
0.1,1,6,0.004006650699224505,0.013233569288567964,458.5066158551126
0.1,1,6,0.006724121078097849,0.01160380584241939,279.2643001548825
0.1,1,6,0.011284688301296412,0.011111190906116987,191.12408099888233
0.1,1,6,0.01893841419248203,0.010910556915013962,150.20044026799522
0.1,1,6,0.03178320238449127,0.010609927773705303,58.30475459813004
0.1,1,6,0.053339838465173,0.010436519387046005,50.62391448713837
0.1,1,6,0.08951704529556925,0.010419120276273439,19.740395797587265
0.1,1,6,0.1502310773528325,0.010311346160898776,19.28853384107849
0.1,1,6,0.2521237885820823,0.010665145501395981,16.918779454255162
0.1,1,6,0.42312420232260234,0.013446643535518095,39.313774874574484
0.1,1,6,0.710103919975213,0.033901402176211154,23.542482849092945
0.1,1,6,1.19172473329642,0.13179067023194052,7.182766738624453
0.1,1,6,2.0,0.28417792644792533,0.0
0.1,1,7,5.953403432457096e-07,0.02300189109829718,58272.544437684934
0.1,1,7,9.995601262943333e-07,0.02300189109829718,58272.544437684934
0.1,1,7,1.6782340679794739e-06,0.022993769431753207,51704.6336341888
0.1,1,7,2.8177090230363868e-06,0.022993769431753207,51704.6336341888
0.1,1,7,4.730856255384866e-06,0.022984646012099253,29482.894359348164
0.1,1,7,7.94297804568767e-06,0.02294337135652586,25313.163403427305
0.1,1,7,1.333604253193352e-05,0.02294337135652586,25313.163403427305
0.1,1,7,2.2390850055300927e-05,0.022751054345922565,13373.739058041638
