sigma,run,beta,val_mse,L_used
0.0,0,5.8336262043212595e-08,2.1677883747919598e-07,3.149955079467165
0.0,0,1.0611318146490632e-07,2.167791530711945e-07,3.149955079467165
0.0,0,1.9301900543890291e-07,2.167791530711945e-07,3.149955079467165
0.0,0,3.510999853768839e-07,2.167791530711945e-07,3.149955079467165
0.0,0,6.386479893590987e-07,2.167791530711945e-07,3.149955079467165
0.0,0,1.1616954465964857e-06,2.167791530711945e-07,3.149955079467165
0.0,0,2.1131144748413074e-06,2.167791530711945e-07,3.149955079467165
0.0,0,3.843737871975032e-06,2.167791530711945e-07,3.149955079467165
0.0,0,6.991727615497352e-06,2.167791530711945e-07,3.149955079467165
0.0,0,1.2717895100424718e-05,2.1677319158026766e-07,3.149955079467165
0.0,0,2.3133746719036255e-05,3.6221414189103165e-07,3.614242372759496
0.0,0,4.208009525433572e-05,2.4645612792311353e-07,3.2573171817248765
0.0,0,7.654334760900903e-05,3.8432603539883856e-07,3.6793868531607155
0.0,0,0.00013923172055058312,5.5060891839103e-07,4.13085106714254
0.0,0,0.0002532613559900542,2.314787564995399e-06,13.014283142234383
0.0,0,0.0004606803261805438,1.1917195853003242e-06,5.881297308902976
0.0,0,0.0008379737291548981,2.890750595941122e-06,15.959129638420587
0.0,0,0.0015242673299631412,3.8091065406116362e-06,12.703170359282879
0.0,0,0.002772629752410165,7.607563690572096e-06,20.359746916662264
0.0,0,0.0050433907444148475,1.186244901499876e-05,44.693241916225396
0.0,0,0.009173886336153904,1.5607066952687855e-05,114.23102796499305
0.0,0,0.016687223888387358,2.0764365769815586e-05,69.56742557878923
0.0,0,0.030353923179073344,4.8093916551679986e-05,45.88421445450516
0.0,0,0.05521353692643025,0.00013949729874288943,28.913568159879944
0.0,0,0.10043297012848748,0.00074309021041401,58.00152649597089
0.0,0,0.18268674767693102,0.004782909071300909,50.30349189974265
0.0,0,0.33230569338014676,0.02496628674888271,145.29162773482483
0.0,0,0.6044613265990307,0.09573877476883581,274.6406572501689
0.0,0,1.0995101878555102,0.32009836208790887,55.485356652121624
0.0,0,2.0,0.5023968206829789,0.0
0.0,1,1.769605728618727e-07,1.9415552936459116e-07,3.1499916117526694
0.0,1,3.0980520107194513e-07,1.9415552936459116e-07,3.1499916117526694
0.0,1,5.423765365302315e-07,1.9415552936459116e-07,3.1499916117526694
