N_train,method,mlp_width,train_mse_mean,train_mse_std,test_mse_vs_f_mean,test_mse_vs_f_std,max_error_vs_f_mean,max_error_vs_f_std,mse_vs_closed_form_mean,mse_vs_closed_form_std,max_error_vs_closed_form_mean,max_error_vs_closed_form_std,L_hat_mean,L_hat_std,L_used_mean,L_used_std
50,Closed-form,,0.0,0.0,0.0010732694314281935,0.0006875960328423092,0.13608740572592776,0.04479727667917834,0.0,0.0,0.0,0.0,5.138174990821499,0.06674288555667929,5.651992489903649,0.07341717411234719
50,ReLU MLP (W=128),128.0,4.668537596322803e-06,9.079547694142942e-06,5.5845974150370983e-05,4.6752757709449284e-05,0.03566589785523912,0.015535881891544348,0.0009934654534254476,0.0004895817012583864,0.13237835728656167,0.03940139905455859,5.138174990821499,0.06761537860825818,5.651992489903649,0.0743769164690839
50,ReLU MLP (W=64),64.0,7.883555340183564e-05,0.00016016174057881643,0.00018312671355402593,0.00021516053878106717,0.04592986635009097,0.017447777796047663,0.0011208811828583246,0.000484420644100684,0.13537913628474632,0.03713626402030121,5.138174990821499,0.06761537860825818,5.651992489903649,0.0743769164690839
200,Closed-form,,0.0,0.0,5.012989268741449e-05,1.310417329645754e-05,0.03704354207564599,0.007551413191799256,0.0,0.0,0.0,0.0,5.202557490201278,0.00486932751393452,5.722813239221407,0.005356260265328008
200,ReLU MLP (W=128),128.0,1.2364161149657007e-06,1.0840404003242755e-06,3.1404256457467635e-06,1.9447932852816394e-06,0.012994914353565007,0.006535285674987982,5.220297286932939e-05,1.1994210083697999e-05,0.03867714677510835,0.007734453503766585,5.202557490201278,0.004932981555655089,5.722813239221407,0.005426279711220383
200,ReLU MLP (W=64),64.0,2.1243812843287545e-05,3.510131376345037e-05,2.399665419888707e-05,3.1999419987307325e-05,0.02678121823075505,0.011964614622825708,7.45651313956495e-05,3.928885662868758e-05,0.04267995678559993,0.012727182095808766,5.202557490201278,0.004932981555655089,5.722813239221407,0.005426279711220383
1000,Closed-form,,0.0,0.0,2.1350843225698175e-06,3.7345496002845045e-07,0.009191945853024469,0.002606255450649177,0.0,0.0,0.0,0.0,5.207687909622699,0.00024165980559959064,5.728456700584969,0.00026582578615941244
1000,ReLU MLP (W=128),128.0,2.3382948195778615e-05,7.818115697908783e-05,2.3224442714309382e-05,7.625273442210753e-05,0.01231938834917575,0.006775954659459202,2.531871243327719e-05,7.614536417440828e-05,0.013432141398130676,0.00613856133621419,5.207687909622699,0.00024481889138792566,5.728456700584969,0.00026930078052652486
1000,ReLU MLP (W=64),64.0,4.81671930373312e-05,0.00017504258357519645,4.979220160651445e-05,0.00017489339224793579,0.025230890068039656,0.018551653131889678,5.191423004309214e-05,0.00017522540329009532,0.025618842351919746,0.01847467512455217,5.207687909622699,0.00024481889138792566,5.728456700584969,0.00026930078052652486
5000,Closed-form,,0.0,0.0,7.906381629855822e-08,3.855110795616173e-09,0.001820491473267008,0.00021731059098634964,0.0,0.0,0.0,0.0,5.2078527580475775,1.1307550350204329e-05,5.728638033852336,1.2438305385193731e-05
5000,ReLU MLP (W=128),128.0,1.8062668370518013e-05,6.353235802436737e-05,1.8386983729437607e-05,6.432390788243605e-05,0.011861829936535095,0.006257921412707834,1.8465873854247898e-05,6.433081610293964e-05,0.011912853807998053,0.006198992815605927,5.2078527580475775,1.1455367739777589e-05,5.728638033852336,1.2600904513632215e-05
5000,ReLU MLP (W=64),64.0,2.5184916272923825e-05,4.622637726618808e-05,2.5194911672295e-05,4.587280829102441e-05,0.023119607986236683,0.011786920260477765,2.5255658903678694e-05,4.587093613950588e-05,0.02312421044542752,0.011778457768688197,5.2078527580475775,1.1455367739777589e-05,5.728638033852336,1.2600904513632215e-05
