seed,N_train,method,mlp_width,mlp_depth,mlp_lr,mlp_epochs,train_mse,test_mse_vs_f,max_error_vs_f,mse_vs_closed_form,max_error_vs_closed_form,L_hat,L_used
9,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,1.4866485506405238e-06,2.610772798201859e-05,0.014556312040851171,0.000784427827330457,0.1040634322974825,5.121049000822212,5.633153900904434
10,50,Closed-form,,,,,0.0,0.001560028036160925,0.12520694353261963,0.0,0.0,5.180818400197455,5.698900240217201
10,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,2.1925847962278594e-06,9.851607954721371e-05,0.0498870176375219,0.0013709599665529804,0.13665199978071252,5.180818400197455,5.698900240217201
11,50,Closed-form,,,,,0.0,0.0011172194911869954,0.18018914524042318,0.0,0.0,5.194921234874173,5.7144133583615915
11,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,2.2322813914050123e-06,3.0268401597624424e-05,0.03033119562271336,0.0010586050173343115,0.17363878819334472,5.194921234874173,5.7144133583615915
12,50,Closed-form,,,,,0.0,0.0008644721793272559,0.11830630141961007,0.0,0.0,5.089496082143716,5.598445690358089
12,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,8.412317889680507e-07,5.0472434575843654e-05,0.05362075689438073,0.001061570829240018,0.1719270583139908,5.089496082143716,5.598445690358089
13,50,Closed-form,,,,,0.0,0.0006563137247408938,0.09030092944058069,0.0,0.0,5.001842632786442,5.502026896065087
13,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,3.3615882156239302e-06,2.5468952146124952e-05,0.016502761458266235,0.0006036880373754514,0.08581112903091967,5.001842632786442,5.502026896065087
14,50,Closed-form,,,,,0.0,0.0006743015276923108,0.10058648048068114,0.0,0.0,5.19793731271246,5.717731043983706
14,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,4.972103381998236e-07,3.709513994043799e-05,0.035639227658540995,0.0006638569224869886,0.09783240115959169,5.19793731271246,5.717731043983706
15,50,Closed-form,,,,,0.0,0.0005939283251100953,0.09269915281068175,0.0,0.0,5.2038082445816425,5.724189069039808
15,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,3.9800335129445515e-06,3.154959631038759e-05,0.04529851797226159,0.0006395813543118019,0.09194026215326734,5.2038082445816425,5.724189069039808
16,50,Closed-form,,,,,0.0,0.003633077032526365,0.2554970598985936,0.0,0.0,5.191693311662452,5.7108626428286975
16,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,7.232821398053916e-07,0.00021625368696728497,0.05945704508528782,0.002601098410114924,0.2132713683947698,5.191693311662452,5.7108626428286975
17,50,Closed-form,,,,,0.0,0.0008768846171123595,0.1266302612256693,0.0,0.0,5.203774014083037,5.724151415491341
17,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,7.106953880777924e-07,3.0146558428228662e-05,0.022305757974964147,0.0008273544314420259,0.11114055306145454,5.203774014083037,5.724151415491341
18,50,Closed-form,,,,,0.0,0.0009369344495830114,0.14466419149970705,0.0,0.0,5.1554300462344,5.670973050857841
18,50,ReLU MLP (W=128),128.0,3.0,0.001,5000.0,2.9264937601466884e-05,4.7232740673880983e-05,0.037025110155374685,0.0010009071309325286,0.14095878367269216,5.1554300462344,5.670973050857841
19,50,Closed-form,,,,,0.0,0.0017541522688779866,0.21592329692974832,0.0,0.0,5.063868737411146,5.570255611152261
