sigma,run,mlp_mse,uf_mse,mlp_maxerr,uf_maxerr,beta_min,beta_max,beta_star,L_used
0.8,6,0.012326795591358124,0.008117321583876076,0.5249727682587784,0.25810181691069284,5.396717994710084e-07,2.0,0.05193180031635254,356.84147613001085
0.8,7,0.010626075968220313,0.0037643067351167767,0.5622498343069363,0.24426885054536188,7.388371359162703e-07,2.0,0.15558993493617712,96.10306554698451
0.8,8,0.008764871220741087,0.0035630096565756877,0.3291785289843495,0.13902674836785278,2.5537736485503636e-06,2.0,0.07557482114744173,291.1234840675538
0.8,9,0.012198703214240839,0.006415155998890429,0.33327650903681016,0.2783075006628894,7.677539748396357e-07,2.0,0.09410689839912048,1490.311125997757
1.0,0,0.012202342928989208,0.0046968287179354655,0.28242709624691165,0.17680720980564768,2.4092566943689788e-06,2.0,0.11922817833571323,421.00206378572574
1.0,1,0.015486657827015374,0.008539445167939181,0.276248515715395,0.21777735294412148,7.427848647267861e-08,2.0,0.10470483299959235,404.2632997287166
1.0,2,0.02478745959170065,0.03656315920232441,0.47234354157436664,0.49876581862813574,8.301906853080965e-07,2.0,0.020914871170404886,2057.852735986272
1.0,3,0.015013455375300525,0.005135782936072553,0.768046668597587,0.182555290516792,1.1527699306235208e-07,2.0,0.11294759899112744,682.1769120431047
1.0,4,0.011279823434716235,0.005691904135789372,0.27272993045592764,0.27174916927180237,3.844883211812087e-08,2.0,0.09346733291928683,194.56319826151093
1.0,5,0.020412010495108907,0.007754608903998688,0.55994137658564,0.21121550611439222,1.1766917151767594e-07,2.0,0.06383986112596682,502.1573101704854
1.0,6,0.019250958787982747,0.007578113206643954,0.3959879370181625,0.24311323498636525,3.8412880032368006e-07,2.0,0.13899641359552045,134.05927064024843
1.0,7,0.02638061753938515,0.01687798562783474,0.39895100252973237,0.34467579424468897,2.5341364495723424e-07,2.0,0.2237134341751585,171.81773984569017
1.0,8,0.012737718011488425,0.003989004168916132,0.24390156949578512,0.16577679810562662,1.139805327898813e-07,2.0,0.11272756191206762,175.6292995533841
1.0,9,0.015155586158308544,0.0029362683989287157,0.9563411389077981,0.21198899986622613,5.276479926319407e-07,2.0,0.08708083973025868,375.6778572066313
1.2,0,0.03500422461554924,0.011076467173304093,0.5867088833140185,0.25539986185371755,1.4097653675548835e-06,2.0,0.1739243887109907,174.31272535066898
1.2,1,0.026267415414534152,0.009777541616120367,0.5288840760729271,0.20798258022599247,2.0442417603128146e-07,2.0,0.12467281474382089,176.03873533672032
1.2,2,0.014003948213428579,0.005104281658241478,0.6272422595409723,0.21936289107028692,6.873299103205004e-07,2.0,0.15366344151519667,452.2141105752721
