run,method,d,metric,N_train,N_test,N_lip,test_mse,empirical_lipschitz,L_hat_train,L_used_cf,width,mlp_depth,target_scalar_ratio,stored_scalars,formula_scalars,scalar_ratio_to_formula
19345,MLP target=1.0x,100,l2,50,2000,1000,0.1466957492247568,0.13869962235302258,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
19345,MLP target=1.5x,100,l2,50,2000,1000,0.14115028942429683,0.144317220960975,,,41.0,3.0,1.5,7627,5051,1.509998020194021
19345,MLP target=2.0x,100,l2,50,2000,1000,0.14454094436124104,0.12735129710871557,,,50.0,3.0,2.0,10201,5051,2.019600079192239
20345,Closed form,100,l2,50,2000,1000,0.20746095453129793,0.04378042970695609,0.22450659246999463,0.23573192209349436,,,1.0,5051,5051,1.0
20345,MLP target=0.5x,100,l2,50,2000,1000,0.1592690205428022,0.15282820033709502,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
20345,MLP target=1.0x,100,l2,50,2000,1000,0.16010419891279165,0.17501585938638,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
20345,MLP target=1.5x,100,l2,50,2000,1000,0.15037678797161483,0.1698903551434622,,,41.0,3.0,1.5,7627,5051,1.509998020194021
20345,MLP target=2.0x,100,l2,50,2000,1000,0.14431439149018546,0.15318167794398724,,,50.0,3.0,2.0,10201,5051,2.019600079192239
21345,Closed form,100,l2,50,2000,1000,0.1988231414589557,0.034683620665570035,0.17261058523204767,0.18124111449365007,,,1.0,5051,5051,1.0
21345,MLP target=0.5x,100,l2,50,2000,1000,0.15020893618516312,0.16533458531354123,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
21345,MLP target=1.0x,100,l2,50,2000,1000,0.17267397372400214,0.1321826109620166,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
21345,MLP target=1.5x,100,l2,50,2000,1000,0.15020160844586666,0.14770144240249788,,,41.0,3.0,1.5,7627,5051,1.509998020194021
21345,MLP target=2.0x,100,l2,50,2000,1000,0.15576070268909423,0.14500729432604859,,,50.0,3.0,2.0,10201,5051,2.019600079192239
22345,Closed form,100,l2,50,2000,1000,0.20466748958709646,0.04714433913299338,0.2372552423451885,0.24911800446244792,,,1.0,5051,5051,1.0
22345,MLP target=0.5x,100,l2,50,2000,1000,0.15327848441656008,0.16751503827923783,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
22345,MLP target=1.0x,100,l2,50,2000,1000,0.14687565595700702,0.1600825669225342,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
22345,MLP target=1.5x,100,l2,50,2000,1000,0.15490507125591602,0.15667682350753978,,,41.0,3.0,1.5,7627,5051,1.509998020194021
22345,MLP target=2.0x,100,l2,50,2000,1000,0.1656451468519923,0.15455122957994927,,,50.0,3.0,2.0,10201,5051,2.019600079192239
23345,Closed form,100,l2,50,2000,1000,0.20139207358769637,0.0414673000969753,0.22117308551552306,0.2322317397912992,,,1.0,5051,5051,1.0
23345,MLP target=0.5x,100,l2,50,2000,1000,0.2996740579910769,0.2496366965228263,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
23345,MLP target=1.0x,100,l2,50,2000,1000,0.12680275388430604,0.19107452300642294,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
23345,MLP target=1.5x,100,l2,50,2000,1000,0.14813474097099766,0.17434112221622203,,,41.0,3.0,1.5,7627,5051,1.509998020194021
23345,MLP target=2.0x,100,l2,50,2000,1000,0.14380110847478397,0.16365584416063667,,,50.0,3.0,2.0,10201,5051,2.019600079192239
24345,Closed form,100,l2,50,2000,1000,0.19038026238226008,0.043371515659005454,0.2024226026271744,0.21254373275853314,,,1.0,5051,5051,1.0
24345,MLP target=0.5x,100,l2,50,2000,1000,0.12894429767410645,0.18142349339289554,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
24345,MLP target=1.0x,100,l2,50,2000,1000,0.12893866022149972,0.17090412233598676,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
24345,MLP target=1.5x,100,l2,50,2000,1000,0.14484818192755666,0.16740012207493363,,,41.0,3.0,1.5,7627,5051,1.509998020194021
24345,MLP target=2.0x,100,l2,50,2000,1000,0.1318962596143968,0.13994219170464112,,,50.0,3.0,2.0,10201,5051,2.019600079192239
25345,Closed form,100,l2,50,2000,1000,0.1943853642546686,0.04064124103038934,0.21554981438649848,0.2263273051058234,,,1.0,5051,5051,1.0
25345,MLP target=0.5x,100,l2,50,2000,1000,0.16796959564581848,0.19140550054059455,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
25345,MLP target=1.0x,100,l2,50,2000,1000,0.15175368500175,0.16455939877941764,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
25345,MLP target=1.5x,100,l2,50,2000,1000,0.12696083810215286,0.1705400276748562,,,41.0,3.0,1.5,7627,5051,1.509998020194021
25345,MLP target=2.0x,100,l2,50,2000,1000,0.15230836925763758,0.17876515926279632,,,50.0,3.0,2.0,10201,5051,2.019600079192239
26345,Closed form,100,l2,50,2000,1000,0.1909309998397065,0.036775989883174695,0.19501430806992914,0.20476502347342562,,,1.0,5051,5051,1.0
26345,MLP target=0.5x,100,l2,50,2000,1000,0.11638935882731431,0.16921796410655468,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
26345,MLP target=1.0x,100,l2,50,2000,1000,0.1226928415092774,0.16016303030912366,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
26345,MLP target=1.5x,100,l2,50,2000,1000,0.10605234983060106,0.14404449743005235,,,41.0,3.0,1.5,7627,5051,1.509998020194021
26345,MLP target=2.0x,100,l2,50,2000,1000,0.09775852937415402,0.12550244780115835,,,50.0,3.0,2.0,10201,5051,2.019600079192239
27345,Closed form,100,l2,50,2000,1000,0.20143126085305824,0.04688346648757737,0.21511552180002147,0.22587129789002255,,,1.0,5051,5051,1.0
27345,MLP target=0.5x,100,l2,50,2000,1000,0.15887282813504724,0.1492116289196009,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
27345,MLP target=1.0x,100,l2,50,2000,1000,0.15154874732018528,0.16417694788607218,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
27345,MLP target=1.5x,100,l2,50,2000,1000,0.15695072264006768,0.18269168102317537,,,41.0,3.0,1.5,7627,5051,1.509998020194021
27345,MLP target=2.0x,100,l2,50,2000,1000,0.16548471350035998,0.15861771122986684,,,50.0,3.0,2.0,10201,5051,2.019600079192239
28345,Closed form,100,l2,50,2000,1000,0.2033965528322898,0.0495085280773211,0.21544736038819512,0.22621972840760488,,,1.0,5051,5051,1.0
28345,MLP target=0.5x,100,l2,50,2000,1000,0.17511254606340504,0.16962086698541884,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
28345,MLP target=1.0x,100,l2,50,2000,1000,0.15873699793148208,0.15812503527165647,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
28345,MLP target=1.5x,100,l2,50,2000,1000,0.14202509318532738,0.18054504911597713,,,41.0,3.0,1.5,7627,5051,1.509998020194021
28345,MLP target=2.0x,100,l2,50,2000,1000,0.15318975101979532,0.16456415321237267,,,50.0,3.0,2.0,10201,5051,2.019600079192239
29345,Closed form,100,l2,50,2000,1000,0.22753806914342822,0.04154457315663811,0.19487956749158827,0.20462354586616768,,,1.0,5051,5051,1.0
29345,MLP target=0.5x,100,l2,50,2000,1000,0.20460981790602675,0.14910800115427528,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
29345,MLP target=1.0x,100,l2,50,2000,1000,0.17571130426843357,0.14073411735856442,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
29345,MLP target=1.5x,100,l2,50,2000,1000,0.16915642837922779,0.15850529862473756,,,41.0,3.0,1.5,7627,5051,1.509998020194021
29345,MLP target=2.0x,100,l2,50,2000,1000,0.17386309047980705,0.14113838666431489,,,50.0,3.0,2.0,10201,5051,2.019600079192239
30345,Closed form,100,l2,50,2000,1000,0.1983677764654547,0.0432992396999837,0.21341689866856642,0.22408774360199474,,,1.0,5051,5051,1.0
30345,MLP target=0.5x,100,l2,50,2000,1000,0.14711258669369953,0.1523566175680106,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
30345,MLP target=1.0x,100,l2,50,2000,1000,0.13671246654924085,0.16427708849407752,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
30345,MLP target=1.5x,100,l2,50,2000,1000,0.14461422930336665,0.15732609399044029,,,41.0,3.0,1.5,7627,5051,1.509998020194021
30345,MLP target=2.0x,100,l2,50,2000,1000,0.14376632897854377,0.15741410233967743,,,50.0,3.0,2.0,10201,5051,2.019600079192239
31345,Closed form,100,l2,50,2000,1000,0.2080116772509583,0.0487662607066691,0.22145918596409445,0.23253214526229918,,,1.0,5051,5051,1.0
31345,MLP target=0.5x,100,l2,50,2000,1000,0.15599413426622988,0.15410686492586675,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
31345,MLP target=1.0x,100,l2,50,2000,1000,0.14958175196550128,0.1764101229775711,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
31345,MLP target=1.5x,100,l2,50,2000,1000,0.15916152786966098,0.18510514644137183,,,41.0,3.0,1.5,7627,5051,1.509998020194021
31345,MLP target=2.0x,100,l2,50,2000,1000,0.14460645875284753,0.16330814306919142,,,50.0,3.0,2.0,10201,5051,2.019600079192239
