run,method,d,metric,N_train,N_test,N_lip,test_mse,empirical_lipschitz,L_hat_train,L_used_cf,width,mlp_depth,target_scalar_ratio,stored_scalars,formula_scalars,scalar_ratio_to_formula
12345,Closed form,100,l2,50,2000,1000,0.1973990806239619,0.043402560716305105,0.2174921798301207,0.22836678882162675,,,1.0,5051,5051,1.0
12345,MLP target=0.5x,100,l2,50,2000,1000,0.1648051679578016,0.16357973639402557,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
12345,MLP target=1.0x,100,l2,50,2000,1000,0.1489284440261522,0.1594402201326993,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
12345,MLP target=1.5x,100,l2,50,2000,1000,0.16917587384127983,0.15067799985259503,,,41.0,3.0,1.5,7627,5051,1.509998020194021
12345,MLP target=2.0x,100,l2,50,2000,1000,0.16897637572916901,0.15264316628873462,,,50.0,3.0,2.0,10201,5051,2.019600079192239
13345,Closed form,100,l2,50,2000,1000,0.1946945549060447,0.04036753737455854,0.18662901981112215,0.19596047080167828,,,1.0,5051,5051,1.0
13345,MLP target=0.5x,100,l2,50,2000,1000,0.14558251550980605,0.1587253070512843,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
13345,MLP target=1.0x,100,l2,50,2000,1000,0.1580618547411514,0.15060037485061242,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
13345,MLP target=1.5x,100,l2,50,2000,1000,0.1137509861341618,0.1330930750099951,,,41.0,3.0,1.5,7627,5051,1.509998020194021
13345,MLP target=2.0x,100,l2,50,2000,1000,0.12381213221636349,0.1460919181829588,,,50.0,3.0,2.0,10201,5051,2.019600079192239
14345,Closed form,100,l2,50,2000,1000,0.2071783107474423,0.035795594848636036,0.19565781920049635,0.20544071016052118,,,1.0,5051,5051,1.0
14345,MLP target=0.5x,100,l2,50,2000,1000,0.12764250645166922,0.16896166367453894,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
14345,MLP target=1.0x,100,l2,50,2000,1000,0.14932570649404583,0.15101039078912346,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
14345,MLP target=1.5x,100,l2,50,2000,1000,0.14241953284087305,0.15695272420359285,,,41.0,3.0,1.5,7627,5051,1.509998020194021
14345,MLP target=2.0x,100,l2,50,2000,1000,0.1641813826345561,0.1647379256970997,,,50.0,3.0,2.0,10201,5051,2.019600079192239
15345,Closed form,100,l2,50,2000,1000,0.19085630476220836,0.04055553786317025,0.20851524306065308,0.21894100521368576,,,1.0,5051,5051,1.0
15345,MLP target=0.5x,100,l2,50,2000,1000,0.15010710539249136,0.17298974007397497,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
15345,MLP target=1.0x,100,l2,50,2000,1000,0.14389597096288428,0.17008416050451688,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
15345,MLP target=1.5x,100,l2,50,2000,1000,0.1453894849737452,0.17420176215255725,,,41.0,3.0,1.5,7627,5051,1.509998020194021
15345,MLP target=2.0x,100,l2,50,2000,1000,0.13765972684482158,0.15836217111048834,,,50.0,3.0,2.0,10201,5051,2.019600079192239
16345,Closed form,100,l2,50,2000,1000,0.19058575304431077,0.058559453986849495,0.22896233078748912,0.2404104473268636,,,1.0,5051,5051,1.0
16345,MLP target=0.5x,100,l2,50,2000,1000,0.19358541741268503,0.1910706338096718,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
16345,MLP target=1.0x,100,l2,50,2000,1000,0.14631333386588719,0.14789587868501364,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
16345,MLP target=1.5x,100,l2,50,2000,1000,0.15413643594569976,0.16874994368474333,,,41.0,3.0,1.5,7627,5051,1.509998020194021
16345,MLP target=2.0x,100,l2,50,2000,1000,0.1567212081587896,0.16074925965480202,,,50.0,3.0,2.0,10201,5051,2.019600079192239
17345,Closed form,100,l2,50,2000,1000,0.16252501700419902,0.0316353859173228,0.16382148916836708,0.17201256362678544,,,1.0,5051,5051,1.0
17345,MLP target=0.5x,100,l2,50,2000,1000,0.13393970566604205,0.14630167058609883,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
17345,MLP target=1.0x,100,l2,50,2000,1000,0.10378299026173754,0.1300853326233999,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
17345,MLP target=1.5x,100,l2,50,2000,1000,0.1258963586813148,0.15697142177032888,,,41.0,3.0,1.5,7627,5051,1.509998020194021
17345,MLP target=2.0x,100,l2,50,2000,1000,0.09973337702389068,0.15170338962075727,,,50.0,3.0,2.0,10201,5051,2.019600079192239
18345,Closed form,100,l2,50,2000,1000,0.1968945544816807,0.03907710177156508,0.20933745318457422,0.21980432584380294,,,1.0,5051,5051,1.0
18345,MLP target=0.5x,100,l2,50,2000,1000,0.14083530463574362,0.17368819780122285,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
18345,MLP target=1.0x,100,l2,50,2000,1000,0.14198477127971054,0.17781766889900907,,,31.0,3.0,1.0,5147,5051,1.0190061373985349
18345,MLP target=1.5x,100,l2,50,2000,1000,0.14382930940958116,0.21280145470598308,,,41.0,3.0,1.5,7627,5051,1.509998020194021
18345,MLP target=2.0x,100,l2,50,2000,1000,0.12719269764045443,0.16701460429343526,,,50.0,3.0,2.0,10201,5051,2.019600079192239
19345,Closed form,100,l2,50,2000,1000,0.18930111855078843,0.03996766277864465,0.18131066023521322,0.19037619324697388,,,1.0,5051,5051,1.0
19345,MLP target=0.5x,100,l2,50,2000,1000,0.1526375378163114,0.15237769041215096,,,18.0,3.0,0.5,2521,5051,0.4991090873094437
