run,method,d,metric,N_train,N_test,N_lip,test_mse,empirical_lipschitz,L_hat_train,L_used_cf,width,mlp_depth,target_scalar_ratio,stored_scalars,formula_scalars,scalar_ratio_to_formula
19345,MLP target=0.5x,100,l2,1000,2000,1000,0.010960638449482377,0.24403381240002844,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
19345,MLP target=1.0x,100,l2,1000,2000,1000,0.011910974051762413,0.2552894022177084,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
19345,MLP target=1.5x,100,l2,1000,2000,1000,0.011434512535133685,0.2448515723708882,,,250.0,3.0,1.5,151001,101001,1.495044603518777
19345,MLP target=2.0x,100,l2,1000,2000,1000,0.010941454655381787,0.2476622024523017,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
20345,Closed form,100,l2,1000,2000,1000,0.19800775081516786,0.04779295429164139,0.24365235755394996,0.25583497543164746,,,1.0,101001,101001,1.0
20345,MLP target=0.5x,100,l2,1000,2000,1000,0.009985080836369,0.27136936613282087,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
20345,MLP target=1.0x,100,l2,1000,2000,1000,0.010382913886850911,0.28767968655376747,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
20345,MLP target=1.5x,100,l2,1000,2000,1000,0.008201415762379403,0.26829800504295453,,,250.0,3.0,1.5,151001,101001,1.495044603518777
20345,MLP target=2.0x,100,l2,1000,2000,1000,0.007940982627995273,0.27105108397819266,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
21345,Closed form,100,l2,1000,2000,1000,0.1933957174738401,0.04976595697979414,0.25261505771910897,0.2652458106050644,,,1.0,101001,101001,1.0
21345,MLP target=0.5x,100,l2,1000,2000,1000,0.009783706255590186,0.29134091139949897,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
21345,MLP target=1.0x,100,l2,1000,2000,1000,0.008687250346794422,0.2718638664093199,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
21345,MLP target=1.5x,100,l2,1000,2000,1000,0.009147293345240766,0.2822013581241615,,,250.0,3.0,1.5,151001,101001,1.495044603518777
21345,MLP target=2.0x,100,l2,1000,2000,1000,0.008422231561598933,0.27441190576893226,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
22345,Closed form,100,l2,1000,2000,1000,0.20358450643747933,0.044572961565578814,0.2538639330170727,0.2665571296679264,,,1.0,101001,101001,1.0
22345,MLP target=0.5x,100,l2,1000,2000,1000,0.011870904617413395,0.2889687445986177,,,135.0,3.0,0.5,50491,101001,0.4999059415253314
22345,MLP target=1.0x,100,l2,1000,2000,1000,0.010546620803295565,0.26880771044687174,,,200.0,3.0,1.0,100801,101001,0.9980198215859248
22345,MLP target=1.5x,100,l2,1000,2000,1000,0.009699892401268603,0.2812792654762646,,,250.0,3.0,1.5,151001,101001,1.495044603518777
22345,MLP target=2.0x,100,l2,1000,2000,1000,0.008448943743545951,0.27854772577276876,,,293.0,3.0,2.0,202171,101001,2.0016732507598936
