sigma,case,experiment,group,d,family,method,target_scalar_ratio,width,mlp_depth,stored_scalars,formula_scalars,scalar_ratio_to_formula,formula_L,beta_mode,cv_folds,final_refit_n,optimizer_updates,completed_runs,test_mse_mean,test_mse_std,train_noisy_mse_mean,train_noisy_mse_std,train_clean_mse_mean,train_clean_mse_std,empirical_lipschitz_mean,empirical_lipschitz_std,lipschitz_bound_mean,lipschitz_bound_std,training_seconds_mean,training_seconds_std,beta_selected_mean,beta_selected_std,cv_validation_mse_mean,cv_validation_mse_std,final_average_count_mean_mean,final_average_count_mean_std,clean_test_variance_mean,clean_test_variance_std,mse_percent_of_formula,mse_percent_of_constant,observed_comparison
0.1,folds_T4_d100,Folding: 4 layers,Tied,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,2,0.04225037099249561,0.0027802700311630856,0.05076223758540373,0.004958972843335666,0.04067816489555899,0.0033206163911138294,0.004037175924007319,0.004741380868302497,1.0,0.0,0.4015962520006724,0.023795278801487654,8.618575020903775,0.8553337321327785,0.0506806415885735,0.00475824017956251,689.155,421.790609191338,0.04217817535706662,0.0026689051229389525,100.0,100.13276561652134,Reference
0.1,folds_T4_d100,Folding: 4 layers,Tied,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.05436037428197377,0.002612016645243472,9.501553419303694e-08,1.3437225547232323e-07,0.00947970593437503,0.0001901859050993084,0.10809082092216887,0.008840318017764526,4.243376740397337,0.4391983360000907,8.813424730999031,0.16336100016565688,8.618575020903775,0.8553337321327785,0.0506806415885735,0.00475824017956251,689.155,421.790609191338,0.04217817535706662,0.0026689051229389525,128.66247799724434,128.83329752938903,Formula win
0.1,folds_T4_d100,Folding: 4 layers,Tied,100,spectral,Spectral MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.05198238079491552,0.0021991487701286012,1.566690458157955e-05,2.2146551121593936e-05,0.009397065229995387,0.00030808443362237615,0.09908068113577527,0.00036385269088621885,0.9999989763663751,1.771032718835954e-08,9.477435961498486,0.2014485312420552,8.618575020903775,0.8553337321327785,0.0506806415885735,0.00475824017956251,689.155,421.790609191338,0.04217817535706662,0.0026689051229389525,123.03414046742567,123.197487502549,Formula win
0.1,folds_T4_d100,Folding: 4 layers,Tied,100,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.049026445439184385,0.002643857186786873,1.3135908740548003e-12,7.519278506252841e-13,0.009473999784397686,0.00019818518851672228,0.08127668617685213,0.0032309180946145863,0.9999989954373874,3.506545243829567e-08,42.94783104350063,0.8067000029934785,8.618575020903775,0.8553337321327785,0.0506806415885735,0.00475824017956251,689.155,421.790609191338,0.04217817535706662,0.0026689051229389525,116.03790520062492,116.191963640863,Formula win
0.1,folds_T4_d100,Folding: 4 layers,Tied,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,1.0,cv,5,1000,0,2,0.04219435140171993,0.0026907516714699082,0.050750268349952214,0.00493925588619421,0.04067679347247273,0.0033053219199551094,0.0,0.0,0.0,0.0,0.0,0.0,8.618575020903775,0.8553337321327785,0.0506806415885735,0.00475824017956251,689.155,421.790609191338,0.04217817535706662,0.0026689051229389525,99.86741041685615,99.99999999999999,Reference
0.2,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,2,0.04843375353684984,9.265830451763373e-05,0.08613512400458848,0.0025254412781143677,0.048819227641735574,0.0018970568864741695,0.009690732644538139,0.009498483591634941,1.0,0.0,0.34427956150102546,0.001010425186594207,8.164965809277259,0.6415002990995845,0.08756672260505352,0.004312601129912962,510.048,461.61910574845143,0.04841201802770938,5.0418213557676525e-05,100.0,99.97745487901338,Reference
0.2,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.06945299067157715,0.0026478780672411313,0.0007903745440869291,0.0011177583996009816,0.03850239984818949,6.45578514760568e-05,0.1260015798973422,0.015144452458861047,5.556658655458499,0.2990933388194934,7.893616483999722,0.11912283298563518,8.164965809277259,0.6415002990995845,0.08756672260505352,0.004312601129912962,510.048,461.61910574845143,0.04841201802770938,5.0418213557676525e-05,143.39791075398531,143.36558152151358,Formula win
0.2,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,spectral,Spectral MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.06256763580191477,0.00015983088148684559,5.36570634294664e-05,7.579359577373424e-05,0.0372359133190132,0.0016892878021110421,0.12148729920574425,0.015451912134341076,0.9999989245408509,1.535772282582375e-07,9.768951863001348,0.32948030792432487,8.164965809277259,0.6415002990995845,0.08756672260505352,0.004312601129912962,510.048,461.61910574845143,0.04841201802770938,5.0418213557676525e-05,129.18188501395304,129.15276080168385,Formula win
0.2,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,2,0.05758320058828686,0.00018031499048497715,5.603030155054146e-13,9.234694001760681e-14,0.037896026204121774,0.0007927054634131554,0.10431221196908647,0.006060928963234996,0.9999990010520861,1.3934551729708999e-09,43.65255269549925,0.6383838021495146,8.164965809277259,0.6415002990995845,0.08756672260505352,0.004312601129912962,510.048,461.61910574845143,0.04841201802770938,5.0418213557676525e-05,118.89064213137196,118.86383809226169,Formula win
0.2,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,1.0,cv,5,1000,0,2,0.04844467544754106,8.859205177000654e-05,0.08761555525749931,0.004583186188657312,0.05001195712051698,0.0033453766027930197,0.0,0.0,0.0,0.0,0.0,0.0,8.164965809277259,0.6415002990995845,0.08756672260505352,0.004312601129912962,510.048,461.61910574845143,0.04841201802770938,5.0418213557676525e-05,100.0225502049576,100.0,Reference
