case,experiment,group,target_family,target_level,run,sigma,d,N_train,N_test,formula_scalars,metric,formula_L,beta_mode,noisy_L_D,cv_folds,cv_validation_mse,final_refit_n,final_average_count_min,final_average_count_mean,final_average_count_max,beta_selected,final_L,clean_test_variance,train_mean_baseline_mse,family,method,target_scalar_ratio,width,stored_scalars,scalar_ratio_to_formula,mlp_depth,test_mse,train_noisy_mse,train_clean_mse,mse_over_constant,lipschitz_bound,empirical_lipschitz,optimizer_updates,training_seconds
folds_T1_d100,Folding: 1 layer,Tied,folds,1,12345,0.1,100,1000,2000,101001,l2,1.0,cv,0.2816477163896506,5,0.12360434447492324,1000,874,988.032,1000,9.22338730307246,1.0,0.11742387296509704,0.11742601537455914,constant,Training-mean constant,,,1,9.900892070375541e-06,,0.11742601537455914,0.12334427481698021,0.11779097756131418,1.0,0.0,0.0,0,0.0
folds_T1_d100,Folding: 1 layer,Tied,folds,1,12345,0.1,100,1000,2000,101001,l2,1.0,cv,0.2816477163896506,5,0.12360434447492324,1000,874,988.032,1000,9.22338730307246,1.0,0.11742387296509704,0.11742601537455914,formula,Formula,1.0,,101001,1.0,,0.11742764611317813,0.12340901518721847,0.11785047350169074,1.0000138873708162,1.0,0.0012063354300284746,0,0.39794462400095654
folds_T1_d100,Folding: 1 layer,Tied,folds,1,12345,0.1,100,1000,2000,101001,l2,1.0,cv,0.2816477163896506,5,0.12360434447492324,1000,874,988.032,1000,9.22338730307246,1.0,0.11742387296509704,0.11742601537455914,orthogonal,Orthogonal MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.12217696599501449,7.52839492073957e-13,0.009614152377779715,1.0404590976309722,0.9999990132051737,0.12261032485457066,1001,42.56332610100071
folds_T1_d100,Folding: 1 layer,Tied,folds,1,12345,0.1,100,1000,2000,101001,l2,1.0,cv,0.2816477163896506,5,0.12360434447492324,1000,874,988.032,1000,9.22338730307246,1.0,0.11742387296509704,0.11742601537455914,spectral,Spectral MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.11994458185223061,4.643205739477036e-13,0.009614177572959811,1.0214481132621072,0.9999989785463371,0.11924089899422312,1001,9.107285693000449
folds_T1_d100,Folding: 1 layer,Tied,folds,1,12345,0.1,100,1000,2000,101001,l2,1.0,cv,0.2816477163896506,5,0.12360434447492324,1000,874,988.032,1000,9.22338730307246,1.0,0.11742387296509704,0.11742601537455914,unconstrained,ReLU MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.1330930212928572,2.2609842315877847e-12,0.009614204175230835,1.1334202294808717,6.665243109970919,0.14600162306951409,1001,8.801424229000986
folds_T1_d100,Folding: 1 layer,Tied,folds,1,13345,0.1,100,1000,2000,101001,l2,1.0,cv,0.29478123245814747,5,0.13267360341533002,1000,20,186.09,792,7.711356597650745,1.0,0.12249064856419614,0.1225425504771059,constant,Training-mean constant,,,1,9.900892070375541e-06,,0.1225425504771059,0.13272142612249768,0.12243538269883654,1.0,0.0,0.0,0,0.0
folds_T1_d100,Folding: 1 layer,Tied,folds,1,13345,0.1,100,1000,2000,101001,l2,1.0,cv,0.29478123245814747,5,0.13267360341533002,1000,20,186.09,792,7.711356597650745,1.0,0.12249064856419614,0.1225425504771059,formula,Formula,1.0,,101001,1.0,,0.12282634795216786,0.1292736529521145,0.11910279668430158,1.0023159096489915,1.0,0.01965309383241532,0,0.3945477369998116
folds_T1_d100,Folding: 1 layer,Tied,folds,1,13345,0.1,100,1000,2000,101001,l2,1.0,cv,0.29478123245814747,5,0.13267360341533002,1000,20,186.09,792,7.711356597650745,1.0,0.12249064856419614,0.1225425504771059,orthogonal,Orthogonal MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.12937593322613974,0.0003336565690685258,0.009773219297243205,1.0557633468736274,0.9999989703809145,0.11513672652429852,1001,42.12958631500078
folds_T1_d100,Folding: 1 layer,Tied,folds,1,13345,0.1,100,1000,2000,101001,l2,1.0,cv,0.29478123245814747,5,0.13267360341533002,1000,20,186.09,792,7.711356597650745,1.0,0.12249064856419614,0.1225425504771059,spectral,Spectral MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.12892276445646142,2.976177603284433e-12,0.009333871649428541,1.0520652944998685,0.9999990258112758,0.12741467574739196,1001,9.390558150000288
folds_T1_d100,Folding: 1 layer,Tied,folds,1,13345,0.1,100,1000,2000,101001,l2,1.0,cv,0.29478123245814747,5,0.13267360341533002,1000,20,186.09,792,7.711356597650745,1.0,0.12249064856419614,0.1225425504771059,unconstrained,ReLU MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.15162434449763465,2.9797526849498295e-15,0.009333919185054322,1.2373199668792758,6.519317258825304,0.1698352272953712,1001,8.961482827002328
