epoch=0, train_mse=2.455036e-01
epoch=100, train_mse=1.412378e-03
epoch=200, train_mse=3.067829e-06
epoch=300, train_mse=4.380632e-05
epoch=400, train_mse=7.531966e-07
epoch=500, train_mse=1.085420e-05
epoch=600, train_mse=6.427281e-10
epoch=700, train_mse=1.654517e-13
epoch=800, train_mse=9.108542e-06
epoch=900, train_mse=5.349530e-10
epoch=1000, train_mse=4.542821e-13
