case,experiment,group,d,family,method,width,mlp_depth,target_scalar_ratio,stored_scalars,formula_scalars,scalar_ratio_to_formula,formula_L_mode,optimizer_updates,completed_runs,test_mse_mean,test_mse_std,train_mse_mean,train_mse_std,empirical_lipschitz_mean,empirical_lipschitz_std,L_used_cf_mean,L_used_cf_std,L_hat_train_mean,L_hat_train_std,target_euclidean_L_mean,target_euclidean_L_std,lipschitz_bound_mean,lipschitz_bound_std,normalized_mse_mean,normalized_mse_std,training_seconds_mean,training_seconds_std,mse_percent_of_formula,mse_percent_of_constant,observed_comparison
bumps_K64_d2,64 signed bumps,(Expected) Clear wins,2,formula,Formula,,,1.0,3001,3001,1.0,fixed,0,2,0.00022352444102959545,1.770937228736092e-05,0.0,0.0,0.9997482113397873,0.00028929180019634143,1.0,0.0,0.9999994815551032,6.934503159319639e-07,1.0,0.0,1.0,0.0,0.10835784460330192,0.007779789244585238,0.028373220999128534,0.0022244575255225595,100.0,10.838683171287983,Reference
bumps_K64_d2,64 signed bumps,(Expected) Clear wins,2,unconstrained,ReLU MLP,37.0,3.0,1.0,2961,3001,0.9866711096301233,fixed,1001,2,0.0010477048697689441,0.0003225000250378045,0.0007977610048548634,0.0003394091979194288,1.067015722286793,0.02557084344023745,1.0,0.0,0.9999994815551032,6.934503159319639e-07,1.0,0.0,48.42588339783262,34.255709193817495,0.508628082205489,0.16017026334548579,2.0968803044997912,0.09039046746709126,468.72049648934103,50.80312957336768,Formula win
bumps_K64_d2,64 signed bumps,(Expected) Clear wins,2,spectral,Spectral MLP,37.0,3.0,1.0,2961,3001,0.9866711096301233,fixed,1001,2,0.0017176543332962924,7.049549761280496e-05,0.0016611281009201726,0.00011218876486465047,0.24719763551119728,0.023967242802837112,1.0,0.0,0.9999994815551032,6.934503159319639e-07,1.0,0.0,0.9999990054889354,6.513725218930092e-09,0.8330397764994619,0.040390943192116335,1.8750101574987639,0.03081879862861008,768.4413952158676,83.28892818447281,Formula win
bumps_K64_d2,64 signed bumps,(Expected) Clear wins,2,orthogonal,Orthogonal MLP,37.0,3.0,1.0,2961,3001,0.9866711096301233,fixed,1001,2,0.0016431866814176441,1.6627208976230758e-05,0.0015841916155830723,3.911335020486671e-05,0.2073437584537383,0.07279902771654805,1.0,0.0,0.9999994815551032,6.934503159319639e-07,1.0,0.0,0.9999990102596573,5.9681128297277426e-09,0.7967720561508205,0.0021250545338257704,4.486169207000785,0.2869404104139915,735.1261785283159,79.67799739988102,Formula win
bumps_K64_d2,64 signed bumps,(Expected) Clear wins,2,constant,Training-mean constant,,,,1,3001,0.0003332222592469177,fixed,0,2,0.002062284112351571,1.5367937013749103e-05,0.0021394525657968374,0.00013813506684086482,0.0,0.0,1.0,0.0,0.9999994815551032,6.934503159319639e-07,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,922.6213038951373,100.0,Reference
folds_T4_d2,Folding: 4 layers,(Expected) Clear wins,2,formula,Formula,,,1.0,3001,3001,1.0,fixed,0,2,9.118859538012939e-05,3.0126777251177366e-05,0.0,0.0,0.9999808696763756,2.621391983318446e-05,1.0,0.0,0.9999999996481455,4.972681433347601e-10,1.0,0.0,1.0,0.0,0.0015353075258022707,0.0007702764807913238,0.02588312800071435,0.0008763966288517206,100.00000000000001,0.14633591307056718,Reference
folds_T4_d2,Folding: 4 layers,(Expected) Clear wins,2,unconstrained,ReLU MLP,37.0,3.0,1.0,2961,3001,0.9866711096301233,fixed,1001,2,0.0003415058213862072,4.991286994218024e-05,0.0002834239200275436,6.200903509625848e-05,1.216511462135099,0.07322882208783535,1.0,0.0,0.9999999996481455,4.972681433347601e-10,1.0,0.0,18.97494213455392,2.455703741993335,0.005653824665963723,0.0018571838955196726,2.0942359385007876,0.018145847049723763,374.5049695771754,0.5480352667254095,Formula win
folds_T4_d2,Folding: 4 layers,(Expected) Clear wins,2,spectral,Spectral MLP,37.0,3.0,1.0,2961,3001,0.9866711096301233,fixed,1001,2,0.009301721561483605,0.0007907971645116831,0.009101775662034916,0.0009520231513326999,0.5900070148520118,0.07851318334402593,1.0,0.0,0.9999999996481455,4.972681433347601e-10,1.0,0.0,0.9999989308050756,8.064763663572263e-08,0.15312774869732587,0.0412964866501303,1.780485736000628,0.003778638631818796,10200.531681301138,14.927041173884497,Formula win
folds_T4_d2,Folding: 4 layers,(Expected) Clear wins,2,orthogonal,Orthogonal MLP,37.0,3.0,1.0,2961,3001,0.9866711096301233,fixed,1001,2,0.006561594698968928,0.0011735591286173986,0.006401785212119114,0.0010458888859292393,0.6501880336771692,0.000712045313096594,1.0,0.0,0.9999999996481455,4.972681433347601e-10,1.0,0.0,0.9999989974099794,3.470474638374911e-08,0.10537759297748915,0.0008529645592001816,4.50265532100093,0.015578604664906414,7195.630847932487,10.529792102509399,Formula win
folds_T4_d2,Folding: 4 layers,(Expected) Clear wins,2,constant,Training-mean constant,,,,1,3001,0.0003332222592469177,fixed,0,2,0.0623145702696752,0.011641101432647754,0.062424601326789314,0.009643042882604471,0.0,0.0,1.0,0.0,0.9999999996481455,4.972681433347601e-10,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,68335.92513396029,100.0,Reference
