case,experiment,group,target_family,target_level,run,sigma,d,N_train,N_test,formula_scalars,metric,formula_L,beta_mode,noisy_L_D,cv_folds,cv_validation_mse,final_refit_n,final_average_count_min,final_average_count_mean,final_average_count_max,beta_selected,final_L,clean_test_variance,train_mean_baseline_mse,family,method,target_scalar_ratio,width,stored_scalars,scalar_ratio_to_formula,mlp_depth,test_mse,train_noisy_mse,train_clean_mse,mse_over_constant,lipschitz_bound,empirical_lipschitz,optimizer_updates,training_seconds
folds_T1_d100,Folding: 1 layer,Tied,folds,1,14345,0.2,100,1000,2000,101001,l2,1.0,cv,0.33381600418138924,5,0.1671187124356442,1000,991,999.824,1000,9.828199585241146,1.0,0.11604498482355952,0.11606070873923557,constant,Training-mean constant,,,1,9.900892070375541e-06,,0.11606070873923557,0.16705669701811568,0.1206359704681432,1.0,0.0,0.0,0,0.0
folds_T1_d100,Folding: 1 layer,Tied,folds,1,14345,0.2,100,1000,2000,101001,l2,1.0,cv,0.33381600418138924,5,0.1671187124356442,1000,991,999.824,1000,9.828199585241146,1.0,0.11604498482355952,0.11606070873923557,formula,Formula,1.0,,101001,1.0,,0.11606172416382031,0.1670530986174075,0.12063313535114233,1.000008749081371,1.0,0.0001622174103533161,0,0.8989324269350618
folds_T1_d100,Folding: 1 layer,Tied,folds,1,14345,0.2,100,1000,2000,101001,l2,1.0,cv,0.33381600418138924,5,0.1671187124356442,1000,991,999.824,1000,9.828199585241146,1.0,0.11604498482355952,0.11606070873923557,orthogonal,Orthogonal MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.12905698383365197,5.747620512460659e-12,0.04002407117910965,1.111978250310502,0.9999990189926882,0.141064632357323,1001,91.97593090101145
folds_T1_d100,Folding: 1 layer,Tied,folds,1,14345,0.2,100,1000,2000,101001,l2,1.0,cv,0.33381600418138924,5,0.1671187124356442,1000,991,999.824,1000,9.828199585241146,1.0,0.11604498482355952,0.11606070873923557,spectral,Spectral MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.12425784997870407,0.002733866245305238,0.03571094476056076,1.070628047411685,0.9999990037036189,0.1529255852780902,1001,13.31401749397628
folds_T1_d100,Folding: 1 layer,Tied,folds,1,14345,0.2,100,1000,2000,101001,l2,1.0,cv,0.33381600418138924,5,0.1671187124356442,1000,991,999.824,1000,9.828199585241146,1.0,0.11604498482355952,0.11606070873923557,unconstrained,ReLU MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.14615006413612924,5.631289467457213e-09,0.040021525696148745,1.2592553132214472,8.829753845021466,0.238037969005798,1001,10.809616345912218
folds_T1_d100,Folding: 1 layer,Tied,folds,1,15345,0.2,100,1000,2000,101001,l2,1.0,cv,0.3174944381554071,5,0.157867853590143,1000,944,997.738,1000,9.525793444156804,1.0,0.1170334713185178,0.11782541557719525,constant,Training-mean constant,,,1,9.900892070375541e-06,,0.11782541557719525,0.15766133885117137,0.11464979578330363,1.0,0.0,0.0,0,0.0
folds_T1_d100,Folding: 1 layer,Tied,folds,1,15345,0.2,100,1000,2000,101001,l2,1.0,cv,0.3174944381554071,5,0.157867853590143,1000,944,997.738,1000,9.525793444156804,1.0,0.1170334713185178,0.11782541557719525,formula,Formula,1.0,,101001,1.0,,0.11782829761983148,0.15770996296724837,0.11469482074761997,1.000024460279831,1.0,0.0006463186921850222,0,0.9530587950721383
folds_T1_d100,Folding: 1 layer,Tied,folds,1,15345,0.2,100,1000,2000,101001,l2,1.0,cv,0.3174944381554071,5,0.157867853590143,1000,944,997.738,1000,9.525793444156804,1.0,0.1170334713185178,0.11782541557719525,orthogonal,Orthogonal MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.12862537309560293,1.171231543061109e-12,0.04241845462592948,1.0916606783477196,0.9999989809431835,0.11764596328209055,1001,91.83821976697072
folds_T1_d100,Folding: 1 layer,Tied,folds,1,15345,0.2,100,1000,2000,101001,l2,1.0,cv,0.3174944381554071,5,0.157867853590143,1000,944,997.738,1000,9.525793444156804,1.0,0.1170334713185178,0.11782541557719525,spectral,Spectral MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.12923624562915786,5.382322572234945e-07,0.04229807336772837,1.0968452349271505,0.9999989938410737,0.13082751496562278,1001,13.583987338002771
folds_T1_d100,Folding: 1 layer,Tied,folds,1,15345,0.2,100,1000,2000,101001,l2,1.0,cv,0.3174944381554071,5,0.157867853590143,1000,944,997.738,1000,9.525793444156804,1.0,0.1170334713185178,0.11782541557719525,unconstrained,ReLU MLP,1.0,200.0,100801,0.9980198215859248,3.0,0.15199793092763247,2.3548753786360498e-15,0.04241866157361674,1.2900266906170896,6.493383600755826,0.16103994708167607,1001,10.86450103786774
