sigma,case,experiment,group,d,family,method,target_scalar_ratio,width,mlp_depth,stored_scalars,formula_scalars,scalar_ratio_to_formula,formula_L,beta_mode,cv_folds,final_refit_n,optimizer_updates,completed_runs,test_mse_mean,test_mse_std,train_noisy_mse_mean,train_noisy_mse_std,train_clean_mse_mean,train_clean_mse_std,empirical_lipschitz_mean,empirical_lipschitz_std,lipschitz_bound_mean,lipschitz_bound_std,training_seconds_mean,training_seconds_std,beta_selected_mean,beta_selected_std,cv_validation_mse_mean,cv_validation_mse_std,final_average_count_mean_mean,final_average_count_mean_std,clean_test_variance_mean,clean_test_variance_std,mse_percent_of_formula,mse_percent_of_constant,observed_comparison
0.2,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,30,0.0492009554307891,0.002720467405690144,0.08695210092707084,0.0044337657146326604,0.048211184853155224,0.0029929871976122017,0.010076565491627837,0.008418257549921244,1.0,0.0,0.9069513539550826,0.03024379756039767,8.316168879819429,0.6500458747254624,0.08813413757137498,0.004341869424229337,545.1893333333335,301.81946324266755,0.04920060754035416,0.00272722507639414,100.0,99.87389214613736,Reference
0.2,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.06672055796805805,0.002572786438984117,1.3312641603101395e-14,6.094763699099063e-14,0.03990596280530365,0.0017656748728924843,0.13702572369376556,0.01502123202778591,5.220450264101553,0.2856226761792658,10.771989885228686,0.2863510849257836,8.316168879819429,0.6500458747254624,0.08813413757137498,0.004341869424229337,545.1893333333335,301.81946324266755,0.04920060754035416,0.00272722507639414,135.60825675817156,135.43724409591331,Formula win
0.2,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,spectral,Spectral MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.06084503668288842,0.002684037329854364,5.705958559758237e-05,0.0002748887698324641,0.03983678619944713,0.0018322072978808593,0.12015754032765515,0.007945716258168097,0.9999989803473216,3.431241122824125e-08,13.518678090022878,0.2096558790051078,8.316168879819429,0.6500458747254624,0.08813413757137498,0.004341869424229337,545.1893333333335,301.81946324266755,0.04920060754035416,0.00272722507639414,123.66637222823655,123.51041922026974,Formula win
0.2,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.05649172711608509,0.0027205786808522053,0.00011189918465499912,0.0006116385914777976,0.039962908751869364,0.0017623503969088404,0.10366251893881809,0.009107374650555276,0.9999989971320977,1.6313364824111093e-08,91.92643497667741,0.8930080787962603,8.316168879819429,0.6500458747254624,0.08813413757137498,0.004341869424229337,545.1893333333335,301.81946324266755,0.04920060754035416,0.00272722507639414,114.81835387435088,114.67355891243953,Near tie
0.2,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,1.0,cv,5,1000,0,30,0.049263080043778947,0.0027332638982386754,0.08812431446123523,0.0043508928611222806,0.04910552187989285,0.003102639342627834,0.0,0.0,0.0,0.0,0.0,0.0,8.316168879819429,0.6500458747254624,0.08813413757137498,0.004341869424229337,545.1893333333335,301.81946324266755,0.04920060754035416,0.00272722507639414,100.12626708657567,100.00000000000001,Reference
0.2,folds_T1_d100,Folding: 1 layer,Tied,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,30,0.12058681135872999,0.0045818924533411595,0.15850686205777118,0.008471842522843281,0.11827306451151999,0.006478401194518717,0.011596184720979678,0.014289130811333199,1.0,0.0,0.9007737269237016,0.027746063117630254,8.537933383281283,0.8173779622053238,0.16055146158663414,0.00769914947331016,629.6046666666666,363.0102089288602,0.1202310916745823,0.004639918106370127,100.0,100.1116910265376,Reference
0.2,folds_T1_d100,Folding: 1 layer,Tied,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.1499871326806472,0.005959120554127876,2.4843827698677232e-05,0.00013570576161243335,0.039885882494733856,0.0017686771011648404,0.18475956207367375,0.016734156971585867,6.969989793879872,0.8777736515582639,10.82139006565946,0.20800773015204915,8.537933383281283,0.8173779622053238,0.16055146158663414,0.00769914947331016,629.6046666666666,363.0102089288602,0.1202310916745823,0.004639918106370127,124.38104216426711,124.51996462707854,Formula win
0.2,folds_T1_d100,Folding: 1 layer,Tied,100,spectral,Spectral MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.1293562729482207,0.005060084910018489,0.00034082549748809483,0.0009464802318569221,0.039381565029680037,0.0019186503580567089,0.14442365685171052,0.010346692627015893,0.9999989896068652,3.2206466486078844e-08,13.408724706953702,0.2511566779073185,8.537933383281283,0.8173779622053238,0.16055146158663414,0.00769914947331016,629.6046666666666,363.0102089288602,0.1202310916745823,0.004639918106370127,107.27232231342671,107.3921358714093,Near tie
0.2,folds_T1_d100,Folding: 1 layer,Tied,100,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.1296668774279,0.005239878256872466,6.039647153287283e-06,2.5065375078273543e-05,0.039889594036661195,0.0017744437643423335,0.1227688141210237,0.010288115238368952,0.9999989974291913,1.711986070971267e-08,91.64782847797032,0.7545921168176863,8.537933383281283,0.8173779622053238,0.16055146158663414,0.00769914947331016,629.6046666666666,363.0102089288602,0.1202310916745823,0.004639918106370127,107.52989980152805,107.65000105045122,Near tie
0.2,folds_T1_d100,Folding: 1 layer,Tied,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,1.0,cv,5,1000,0,30,0.12045227697408972,0.004637769635482881,0.16040353542260674,0.007681494389910909,0.11981639288716256,0.0059508636617625925,0.0,0.0,0.0,0.0,0.0,0.0,8.537933383281283,0.8173779622053238,0.16055146158663414,0.00769914947331016,629.6046666666666,363.0102089288602,0.1202310916745823,0.004639918106370127,99.88843358313866,100.0,Reference
0.2,folds_T4_d100,Folding: 4 layers,Tied,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,30,0.04109258569345128,0.002250797307908492,0.08119540431200667,0.0038091002801087393,0.04052398247197973,0.0026840815571043926,0.004021918492198593,0.004301862141464192,1.0,0.0,0.899057648385254,0.0292009307026704,8.850419729068438,0.8125411729505347,0.08141479885976927,0.0037037828630673963,750.1754666666665,260.5487187164988,0.04098156887944403,0.0022138059691327685,99.99999999999999,100.09958797105482,Reference
0.2,folds_T4_d100,Folding: 4 layers,Tied,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.06473756158931952,0.003577707426953281,1.3688537579881884e-05,5.4644096360879034e-05,0.0399237891364456,0.0018555596954895576,0.13640033144889682,0.012073521502312237,5.313894713419386,0.4611179477351919,10.71999217037422,0.2126492744144058,8.850419729068438,0.8125411729505347,0.08141479885976927,0.0037037828630673963,750.1754666666665,260.5487187164988,0.04098156887944403,0.0022138059691327685,157.54073513956658,157.69762676127695,Formula win
0.2,folds_T4_d100,Folding: 4 layers,Tied,100,spectral,Spectral MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.057122048494508214,0.003517701859237699,9.230387676605645e-05,0.00044402392624997764,0.03976537699998541,0.0017686057209554058,0.11873877538082048,0.011879495535420836,0.9999989795146056,3.164068074910366e-08,13.198182716732845,0.18172984221137406,8.850419729068438,0.8125411729505347,0.08141479885976927,0.0037037828630673963,750.1754666666665,260.5487187164988,0.04098156887944403,0.0022138059691327685,139.00816298257783,139.14659839169275,Formula win
0.2,folds_T4_d100,Folding: 4 layers,Tied,100,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.05260262907188663,0.0024695320591957646,3.309922350146448e-07,1.4936596897204972e-06,0.03990587880471816,0.0017628145906037832,0.09607496756266481,0.009927618007151306,0.9999989951144391,1.7958679189027382e-08,91.2381912912087,0.4493327681477008,8.850419729068438,0.8125411729505347,0.08141479885976927,0.0037037828630673963,750.1754666666665,260.5487187164988,0.04098156887944403,0.0022138059691327685,128.01002464118397,128.1375072274709,Formula win
0.2,folds_T4_d100,Folding: 4 layers,Tied,100,constant,Training-mean constant,,,,1,101001,9.900892070375541e-06,1.0,cv,5,1000,0,30,0.04105170313521547,0.002231462508263835,0.08129342084322522,0.0037218117426672656,0.040548101773809554,0.002636649909394723,0.0,0.0,0.0,0.0,0.0,0.0,8.850419729068438,0.8125411729505347,0.08141479885976927,0.0037037828630673963,750.1754666666665,260.5487187164988,0.04098156887944403,0.0022138059691327685,99.90051110791424,100.00000000000001,Reference
0.8,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,formula,Formula,1.0,,,101001,101001,1.0,1.0,cv,5,1000,0,30,0.05000400500742189,0.0028683745885784806,0.6815307155640131,0.03142992060737298,0.05011399580325253,0.003759323281560824,0.014285576785590568,0.015270932740030859,1.0,0.0,0.8921842811551566,0.036241987699501516,8.769778091445946,0.8205225991201408,0.6846827944644074,0.030495992045245786,703.9724666666665,308.0107015716682,0.04920060754035416,0.00272722507639414,100.0,100.57888513666657,Reference
0.8,voronoi_K64_d100,64 signed Voronoi tents,Hard,100,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,101001,0.9980198215859248,1.0,cv,5,1000,1001,30,0.2779452371662233,0.015158961392733542,5.4005559407106315e-12,2.0972441203571065e-11,0.6384954173822052,0.028250775324675896,0.39196523312790077,0.029735437025830876,11.556864130495999,0.5459796386076418,10.590876242611557,0.24011107264043408,8.769778091445946,0.8205225991201408,0.6846827944644074,0.030495992045245786,703.9724666666665,308.0107015716682,0.04920060754035416,0.00272722507639414,555.8459509892639,559.0636605823037,Formula win
