sigma,case,run,beta_selected,cv_validation_mse,final_refit_n,final_average_count_min,final_average_count_mean,final_average_count_max
0.2,voronoi_K64_d100,13345,8.618575020903775,0.08451725310153929,1000,382,836.462,999
0.2,voronoi_K64_d100,14345,8.316168879819433,0.08893813557994586,1000,148,636.604,936
0.2,voronoi_K64_d100,15345,8.013762738735089,0.09568052376432253,1000,45,388.02,790
0.2,voronoi_K64_d100,16345,9.22338730307246,0.08139580355728127,1000,880,988.47,1000
0.2,voronoi_K64_d100,17345,8.013762738735089,0.08621601906976348,1000,75,388.788,854
0.2,voronoi_K64_d100,18345,8.316168879819433,0.09177559478013564,1000,186,640.578,974
0.2,voronoi_K64_d100,19345,8.316168879819433,0.08980114112084427,1000,145,640.582,943
0.2,voronoi_K64_d100,20345,8.013762738735089,0.08865671500128992,1000,77,378.298,924
0.2,voronoi_K64_d100,21345,7.711356597650745,0.09504517880212722,1000,20,197.494,566
0.2,voronoi_K64_d100,22345,8.618575020903775,0.08886797396303532,1000,440,836.336,994
0.2,voronoi_K64_d100,23345,8.316168879819433,0.08746846416818846,1000,196,631.812,954
0.2,voronoi_K64_d100,24345,7.711356597650745,0.0797359678478725,1000,10,180.544,660
0.2,voronoi_K64_d100,25345,8.316168879819433,0.09328065867193382,1000,212,644.546,955
0.2,voronoi_K64_d100,26345,8.316168879819433,0.08579594370456953,1000,216,624.766,958
0.2,voronoi_K64_d100,27345,7.711356597650745,0.09086689359829002,1000,20,181.2,622
0.2,voronoi_K64_d100,28345,8.316168879819433,0.08684540807948057,1000,194,636.948,963
0.2,voronoi_K64_d100,29345,8.013762738735089,0.08166947776782049,1000,69,382.488,875
0.2,voronoi_K64_d100,30345,7.711356597650745,0.0911807251166144,1000,15,177.222,591
0.2,voronoi_K64_d100,31345,8.920981161988117,0.0876116172114881,1000,602,940.508,1000
0.2,voronoi_K64_d100,32345,10.433011867409832,0.09312364392294684,1000,1000,1000.0,1000
0.2,voronoi_K64_d100,33345,8.013762738735089,0.08889892746114589,1000,44,380.796,870
0.2,voronoi_K64_d100,34345,9.22338730307246,0.0860991967726013,1000,869,986.928,1000
0.2,voronoi_K64_d100,35345,7.408950456566403,0.08299666153891479,1000,3,67.914,293
0.2,voronoi_K64_d100,36345,8.618575020903775,0.07975717082926218,1000,316,820.486,990
0.2,voronoi_K64_d100,37345,9.525793444156804,0.09445066708701721,1000,961,998.282,1000
0.2,voronoi_K64_d100,38345,7.711356597650745,0.09107136134794014,1000,20,193.1,562
