case,experiment,group,target_family,target_level,run,d,N_train,N_test,N_lip,formula_scalars,metric,formula_L_mode,L_used_cf,L_hat_train,cv_folds,cv_offset,cv_mse,cv_offsets,cv_scores,cv_fold_L_D,target_euclidean_L,train_mean_baseline_mse,family,method,target_scalar_ratio,width,mlp_depth,stored_scalars,scalar_ratio_to_formula,test_mse,train_mse,normalized_mse,lipschitz_bound,requested_nn_L,empirical_lipschitz,optimizer_updates,training_seconds
bumps_K64_d2,64 signed bumps,(Expected) Clear wins,bumps,8,12345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999999718985241,0,,,[],[],[],1.0,0.0020731508848268404,constant,Training-mean constant,,,,1,0.0003332222592469177,0.0020731508848268404,0.002041776323314005,1.0,0.0,,0.0,0,0.0
bumps_K64_d2,64 signed bumps,(Expected) Clear wins,bumps,8,12345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999999718985241,0,,,[],[],[],1.0,0.0020731508848268404,unconstrained,ReLU MLP,1.0,37.0,3.0,2961,0.9866711096301233,0.0008196629151318813,0.0005577624594089483,0.39537060284946096,72.64832766313533,,1.0850970390840444,1001,2.1607960170003935
bumps_K64_d2,64 signed bumps,(Expected) Clear wins,bumps,8,12345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999999718985241,0,,,[],[],[],1.0,0.0020731508848268404,spectral,Spectral MLP,1.0,37.0,3.0,2961,0.9866711096301233,0.001667806488891158,0.0015817986645114352,0.8044790666697959,0.9999990100948346,1.0,0.2641450354234279,1001,1.853217976000451
bumps_K64_d2,64 signed bumps,(Expected) Clear wins,bumps,8,12345,2,1000,2000,1000,3001,l2,fixed,1.0,0.9999999718985241,0,,,[],[],[],1.0,0.0020731508848268404,orthogonal,Orthogonal MLP,1.0,37.0,3.0,2961,0.9866711096301233,0.0016549438936369427,0.0016118489307478578,0.79827469662208,0.9999990144797504,1.0,0.15586707229157978,1001,4.689066717000969
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],folds,1,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.2859981495839337,0,,,[],[],[],1.0,0.12266820399791915,formula,Formula,1.0,,,101001,1.0,0.13543687442196303,0.0,1.104091117403663,1.0,,0.15310603955175126,0,0.1296808080005576
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],folds,1,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.2859981495839337,0,,,[],[],[],1.0,0.12266820399791915,constant,Training-mean constant,,,,1,9.900892070375541e-06,0.12266820399791915,0.1223979197964749,1.0,0.0,,0.0,0,0.0
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],folds,1,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.2859981495839337,0,,,[],[],[],1.0,0.12266820399791915,unconstrained,ReLU MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.14794244824798503,3.20806672485714e-15,1.206037452464003,6.158455281141579,,0.16932945541318514,1001,8.825848755997868
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],folds,1,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.2859981495839337,0,,,[],[],[],1.0,0.12266820399791915,spectral,Spectral MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.12732537481239567,3.394164722019612e-11,1.037965590615116,0.9999990045226803,1.0,0.1367334076055935,1001,10.79520106599739
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],folds,1,13345,100,1000,2000,1000,101001,l2,fixed,1.0,0.2859981495839337,0,,,[],[],[],1.0,0.12266820399791915,orthogonal,Orthogonal MLP,1.0,200.0,3.0,100801,0.9980198215859248,0.1292925774106203,1.352764850939754e-12,1.0540023673356587,0.9999990060453823,1.0,0.10598648121647404,1001,42.989700293997885
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],folds,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.2670094838876419,0,,,[],[],[],1.0,0.11742420968801699,formula,Formula,1.0,,,101001,1.0,0.12762227039186577,0.0,1.0868480250447832,1.0,,0.13342509120855245,0,0.13585362500089104
folds_T1_d100,Folding: 1 layer,(Expected) Clear near ties [85%-115%],folds,1,12345,100,1000,2000,1000,101001,l2,fixed,1.0,0.2670094838876419,0,,,[],[],[],1.0,0.11742420968801699,constant,Training-mean constant,,,,1,9.900892070375541e-06,0.11742420968801699,0.11779019713240221,1.0,0.0,,0.0,0,0.0
